,EQUIPMENT_DESC,Count
558,PUMP_CENT_COLD_TANK L3,3
559,PUMP_CENT_BALANCE_TANK L3,3
560,PALITIZER_ELECPNEU_LOAD_ROBOT (NOT USE),3
561,CODER_INKJET_I95C11005,3
562,CONV_ACCUM_TBL_AFTER_LABELER,3
563,ALLIANCE - SINGLE FILER VACUUM MOTOR,3
564,L10 PACKR_CASE_KHS/KISTER_TSP A-M,3
565,BOILR_H2OTB_COND_SYS,3
566,L10 CODER_CARTON_MEAD_WEST,3
567,RO1 PASS 1 PUMP VFD,3
568,CONV_MT_M200_M340_BYPASS,3
569,CONV_MT_EMPTY_CAN,3
570,SANIT_STERLZR L3,3
571,SANIT_STERLZR_VORTEX_CLEANING,3
